Sequela Name,Health State Name,Health State Lay Description,Mean,Lower,Upper
HIV/AIDS -  Drug-susceptible Tuberculosis without anemia,"Tuberculosis, HIV infected","has a persistent cough and fever, shortness of breath, night sweats, weakness and fatigue and severe weight loss.",0.408459204,0.273578943,0.549464505
HIV/AIDS -  Drug-susceptible Tuberculosis with mild anemia,"Tuberculosis, HIV infected and anemia, mild",(combined DW),0.41069636,0.27806277,0.550685739
HIV/AIDS -  Drug-susceptible Tuberculosis with moderate anemia,"Tuberculosis, HIV infected and anemia, moderate",(combined DW),0.43866321,0.306545673,0.577249368
HIV/AIDS -  Drug-susceptible Tuberculosis with severe anemia,"Tuberculosis, HIV infected and anemia, severe",(combined DW),0.494827004,0.352944567,0.640202414
HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance without anemia,"Tuberculosis, HIV infected","has a persistent cough and fever, shortness of breath, night sweats, weakness and fatigue and severe weight loss.",0.408459204,0.273578943,0.549464505
HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance with mild anemia,"Tuberculosis, HIV infected and anemia, mild",(combined DW),0.41069636,0.27806277,0.550685739
HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance with moderate anemia,"Tuberculosis, HIV infected and anemia, moderate",(combined DW),0.43866321,0.306545673,0.577249368
HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance with severe anemia,"Tuberculosis, HIV infected and anemia, severe",(combined DW),0.494827004,0.352944567,0.640202414
HIV/AIDS - Extensively drug-resistant Tuberculosis without anemia,"Tuberculosis, HIV infected","has a persistent cough and fever, shortness of breath, night sweats, weakness and fatigue and severe weight loss.",0.408459204,0.273578943,0.549464505
HIV/AIDS - Extensively drug-resistant Tuberculosis with mild anemia,"Tuberculosis, HIV infected and anemia, mild",(combined DW),0.41069636,0.27806277,0.550685739
HIV/AIDS - Extensively drug-resistant Tuberculosis with moderate anemia,"Tuberculosis, HIV infected and anemia, moderate",(combined DW),0.43866321,0.306545673,0.577249368
HIV/AIDS - Extensively drug-resistant Tuberculosis with severe anemia,"Tuberculosis, HIV infected and anemia, severe",(combined DW),0.494827004,0.352944567,0.640202414
Symptomatic HIV without anemia,"HIV cases, symptomatic, pre-AIDS","has weight loss, fatigue, and frequent infections.",0.274478705,0.184358545,0.377095763
AIDS without anemia,"AIDS cases, not receiving ARV treatment","has severe weight loss, weakness, fatigue, cough and fever, and frequent infections, skin rashes and diarrhea. ",0.58159009,0.4055435,0.742605503
Early HIV without anemia,Generic uncomplicated disease: anxiety about diagnosis,has a disease diagnosis that causes some worry but minimal interference with daily activities.,0.012440831,0.006194748,0.022708943
